type,time,relative_position,speed
rl,1,5.1,0.33
rl,1.1,5.16,0.59
rl,1.2,5.24,0.85
rl,1.3,5.35,1.11
rl,1.4,5.49,1.37
rl,1.5,5.65,1.63
rl,1.6,5.84,1.89
rl,1.7,6.06,2.15
rl,1.8,6.3,2.41
rl,1.9,6.57,2.67
rl,2,6.86,2.93
rl,2.1,7.18,3.19
rl,2.2,7.52,3.45
rl,2.3,7.89,3.71
rl,2.4,8.29,3.97
rl,2.5,8.71,4.23
rl,2.6,9.16,4.49
rl,2.7,9.64,4.75
rl,2.8,10.14,5.01
rl,2.9,10.67,5.27
rl,3,11.22,5.53
rl,3.1,11.8,5.79
rl,3.2,12.4,6.05
rl,3.3,13.03,6.31
rl,3.4,13.69,6.57
rl,3.5,14.37,6.83
rl,3.6,15.08,7.09
rl,3.7,15.82,7.35
rl,3.8,16.58,7.61
rl,3.9,17.37,7.87
rl,4,18.18,8.13
rl,4.1,19.02,8.39
rl,4.2,19.88,8.65
rl,4.3,20.77,8.91
rl,4.4,21.69,9.17
rl,4.5,22.63,9.43
rl,4.6,23.6,9.69
rl,4.7,24.6,9.95
rl,4.8,25.6,9.99
rl,4.9,26.6,9.99
rl,5,27.6,9.99
rl,5.1,28.6,9.99
rl,5.2,29.6,9.99
rl,5.3,30.6,9.99
rl,5.4,31.59,9.99
rl,5.5,32.59,9.99
rl,5.6,33.59,9.99
rl,5.7,34.59,9.99
rl,5.8,35.59,9.99
rl,5.9,36.59,9.99
rl,6,37.59,9.99
rl,6.1,38.59,9.99
rl,6.2,39.59,9.99
rl,6.3,40.59,9.99
rl,6.4,41.59,9.99
rl,6.5,42.59,9.99
rl,6.6,43.59,9.99
rl,6.7,44.59,9.99
rl,6.8,45.59,9.99
rl,6.9,46.59,9.99
rl,7,47.59,9.99
rl,7.1,48.58,9.99
rl,7.2,49.58,9.99
rl,7.3,50.58,9.99
rl,7.4,51.58,9.99
rl,7.5,52.58,9.99
rl,7.6,53.58,9.99
rl,7.7,54.58,9.99
rl,7.8,55.58,9.99
rl,7.9,56.58,9.99
rl,8,57.58,9.99
rl,8.1,58.58,9.99
rl,8.2,59.58,9.99
rl,8.3,60.58,9.99
rl,8.4,61.58,9.99
rl,8.5,62.58,9.99
rl,8.6,63.58,9.99
rl,8.7,64.58,9.99
rl,8.8,65.58,9.99
rl,8.9,66.57,9.99
rl,9,67.57,9.99
rl,9.1,68.57,9.99
rl,9.2,69.57,9.99
rl,9.3,70.57,9.99
rl,9.4,71.57,9.99
rl,9.5,72.57,9.99
rl,9.6,73.57,9.99
rl,9.7,74.57,9.99
rl,9.8,75.57,9.99
rl,9.9,76.57,9.99
rl,10,77.57,9.99
rl,10.1,78.57,9.99
rl,10.2,79.57,9.99
rl,10.3,80.57,9.99
rl,10.4,81.57,9.99
rl,10.5,82.57,9.99
rl,10.6,83.56,9.99
rl,10.7,84.56,9.99
rl,10.8,85.56,9.99
rl,10.9,86.56,9.99
rl,11,87.56,9.99
rl,11.1,88.56,9.99
rl,11.2,89.56,9.99
rl,11.3,90.56,9.99
rl,11.4,91.56,9.99
rl,11.5,92.56,9.99
rl,11.6,93.56,9.99
rl,11.7,94.56,9.99
rl,11.8,95.56,9.99
rl,11.9,96.56,9.99
rl,12,97.56,9.99
rl,12.1,98.56,9.99
rl,12.2,99.56,9.99
rl,12.3,100.55,9.99
rl,12.4,101.55,9.99
rl,12.5,102.55,9.99
rl,12.6,103.55,9.99
rl,12.7,104.55,9.99
rl,12.8,105.55,9.99
rl,12.9,106.55,9.99
rl,13,107.55,9.99
rl,13.1,108.55,9.99
rl,13.2,109.55,9.99
rl,13.3,110.55,9.99
rl,13.4,111.55,9.99
rl,13.5,112.55,9.99
rl,13.6,113.55,9.99
rl,13.7,114.55,9.99
rl,13.8,115.55,9.99
rl,13.9,116.55,9.99
rl,14,117.54,9.99
rl,14.1,118.54,9.99
rl,14.2,119.54,9.99
rl,14.3,120.54,9.99
rl,14.4,121.54,9.99
rl,14.5,122.54,9.99
rl,14.6,123.54,9.99
rl,14.7,124.54,9.99
rl,14.8,125.54,9.99
rl,14.9,126.54,9.99
rl,15,127.54,9.99
rl,15.1,128.54,9.99
rl,15.2,129.54,9.99
rl,15.3,130.54,9.99
rl,15.4,131.54,9.99
rl,15.5,132.54,9.99
rl,15.6,133.54,9.99
rl,15.7,134.53,9.99
rl,15.8,135.53,9.99
rl,15.9,136.53,9.99
rl,16,137.53,9.99
rl,16.1,138.53,9.99
rl,16.2,139.53,9.99
rl,16.3,140.53,9.99
rl,16.4,141.53,9.99
rl,16.5,142.53,9.99
rl,16.6,143.53,9.99
rl,16.7,144.53,9.99
rl,16.8,145.53,9.99
rl,16.9,146.53,9.99
rl,17,147.53,9.99
rl,17.1,148.53,9.99
rl,17.2,149.53,9.99
rl,17.3,150.53,9.99
rl,17.4,151.52,9.99
rl,17.5,152.52,9.99
rl,17.6,153.52,9.99
rl,17.7,154.52,9.99
rl,17.8,155.52,9.99
rl,17.9,156.52,9.99
rl,18,157.52,9.99
rl,18.1,158.52,9.99
rl,18.2,159.52,9.99
rl,18.3,160.52,9.99
rl,18.4,161.52,9.99
rl,18.5,162.52,9.99
rl,18.6,163.52,9.99
rl,18.7,164.52,9.99
rl,18.8,165.52,9.99
rl,18.9,166.52,9.99
rl,19,167.52,9.99
rl,19.1,168.52,9.99
rl,19.2,169.51,9.99
rl,19.3,170.51,9.99
rl,19.4,171.51,9.99
rl,19.5,172.51,9.99
rl,19.6,173.51,9.99
rl,19.7,174.51,9.99
rl,19.8,175.51,9.99
rl,19.9,176.51,9.99
rl,20,177.51,9.99
rl,20.1,178.51,9.99
rl,20.2,179.51,9.99
rl,20.3,180.51,9.99
rl,20.4,181.51,9.99
rl,20.5,182.51,9.99
rl,20.6,183.51,9.99
rl,20.7,184.51,9.99
rl,20.8,185.51,9.99
rl,20.9,186.5,9.99
rl,21,187.5,9.99
rl,21.1,188.5,9.99
rl,21.2,189.5,9.99
rl,21.3,190.5,9.99
rl,21.4,191.5,9.99
rl,21.5,192.5,9.99
rl,21.6,193.5,9.99
rl,21.7,194.5,9.99
rl,21.8,195.5,9.99
rl,21.9,196.5,9.99
rl,22,197.5,9.99
rl,22.1,198.5,9.99
rl,22.2,199.5,9.99
rl,22.3,200,9.99
rl,22.4,200.99,9.95
rl,22.5,201.98,9.89
rl,22.6,202.97,9.88
rl,22.7,203.95,9.79
rl,22.8,204.93,9.8
rl,22.9,205.91,9.84
rl,23,206.89,9.73
rl,23.1,207.86,9.78
rl,23.2,208.85,9.85
rl,23.3,209.83,9.83
rl,23.4,210.82,9.87
rl,23.5,211.8,9.81
rl,23.6,212.8,9.99
rl,23.7,213.8,9.99
rl,23.8,214.79,9.9
rl,23.9,215.79,9.99
rl,24,216.79,9.99
rl,24.1,217.79,9.99
rl,24.2,218.78,9.98
rl,24.3,219.78,9.98
rl,24.4,220.78,9.99
rl,24.5,221.78,9.99
rl,24.6,222.76,9.99
rl,24.7,223.76,9.99
rl,24.8,224.76,9.99
rl,24.9,225.76,9.99
rl,25,226.76,9.99
rl,25.1,227.76,9.99
rl,25.2,228.76,9.99
rl,25.3,229.76,9.99
rl,25.4,230.76,9.99
rl,25.5,231.75,9.99
rl,25.6,232.75,9.99
rl,25.7,233.75,9.99
rl,25.8,234.75,9.99
rl,25.9,235.75,9.99
rl,26,236.75,9.99
rl,26.1,237.75,9.99
rl,26.2,238.75,9.99
rl,26.3,239.75,9.99
rl,26.4,240.75,9.99
rl,26.5,241.75,9.99
rl,26.6,242.75,9.99
rl,26.7,243.75,9.99
rl,26.8,244.75,9.99
rl,26.9,245.75,9.99
rl,27,246.75,9.99
rl,27.1,247.75,9.99
rl,27.2,248.74,9.99
rl,27.3,249.74,9.99
rl,27.4,250.74,9.99
rl,27.5,251.74,9.99
rl,27.6,252.74,9.99
rl,27.7,253.74,9.99
rl,27.8,254.74,9.99
rl,27.9,255.74,9.99
rl,28,256.74,9.99
rl,28.1,257.74,9.99
rl,28.2,258.74,9.99
rl,28.3,259.74,9.99
rl,28.4,260.74,9.99
rl,28.5,261.74,9.99
rl,28.6,262.74,9.99
rl,28.7,263.74,9.99
rl,28.8,264.74,9.99
rl,28.9,265.73,9.99
rl,29,266.73,9.99
rl,29.1,267.73,9.99
rl,29.2,268.73,9.99
rl,29.3,269.73,9.99
rl,29.4,270.73,9.99
rl,29.5,271.73,9.99
rl,29.6,272.73,9.99
rl,29.7,273.73,9.99
rl,29.8,274.73,9.99
rl,29.9,275.73,9.99
rl,30,276.73,9.99
rl,30.1,277.73,9.99
rl,30.2,278.73,9.99
rl,30.3,279.73,9.99
rl,30.4,280.73,9.99
rl,30.5,281.73,9.99
rl,30.6,282.72,9.99
rl,30.7,283.72,9.99
rl,30.8,284.72,9.99
rl,30.9,285.72,9.99
rl,31,286.72,9.99
rl,31.1,287.72,9.99
rl,31.2,288.72,9.99
rl,31.3,289.72,9.99
rl,31.4,290.72,9.99
rl,31.5,291.72,9.99
rl,31.6,292.72,9.99
rl,31.7,293.72,9.99
rl,31.8,294.72,9.99
rl,31.9,295.72,9.99
rl,32,296.72,9.99
rl,32.1,297.72,9.99
rl,32.2,298.72,9.99
rl,32.3,299.71,9.99
rl,32.4,300.71,9.99
rl,32.5,301.71,9.99
rl,32.6,302.71,9.99
rl,32.7,303.71,9.99
rl,32.8,304.71,9.99
rl,32.9,305.71,9.99
rl,33,306.71,9.99
rl,33.1,307.71,9.99
rl,33.2,308.71,9.99
rl,33.3,309.71,9.99
rl,33.4,310.71,9.99
rl,33.5,311.71,9.99
rl,33.6,312.71,9.99
rl,33.7,313.71,9.99
rl,33.8,314.71,9.99
rl,33.9,315.71,9.99
rl,34,316.71,9.99
rl,34.1,317.7,9.99
rl,34.2,318.7,9.99
rl,34.3,319.7,9.99
rl,34.4,320.7,9.99
rl,34.5,321.7,9.99
rl,34.6,322.7,9.99
rl,34.7,323.7,9.99
rl,34.8,324.7,9.99
rl,34.9,325.7,9.99
rl,35,326.7,9.99
rl,35.1,327.7,9.99
rl,35.2,328.7,9.99
rl,35.3,329.7,9.99
rl,35.4,330.7,9.99
rl,35.5,331.7,9.99
rl,35.6,332.7,9.99
rl,35.7,333.7,9.99
rl,35.8,334.69,9.99
rl,35.9,335.69,9.99
rl,36,336.69,9.99
rl,36.1,337.69,9.99
rl,36.2,338.69,9.99
rl,36.3,339.69,9.99
rl,36.4,340.69,9.99
rl,36.5,341.69,9.99
rl,36.6,342.69,9.99
rl,36.7,343.69,9.99
rl,36.8,344.69,9.99
rl,36.9,345.69,9.99
rl,37,346.69,9.99
rl,37.1,347.69,9.99
rl,37.2,348.69,9.99
rl,37.3,349.69,9.99
rl,37.4,350.69,9.99
rl,37.5,351.68,9.99
rl,37.6,352.68,9.99
rl,37.7,353.68,9.99
rl,37.8,354.68,9.99
rl,37.9,355.68,9.99
rl,38,356.68,9.99
rl,38.1,357.68,9.99
rl,38.2,358.68,9.99
rl,38.3,359.68,9.99
rl,38.4,360.68,9.99
rl,38.5,361.68,9.99
rl,38.6,362.68,9.99
rl,38.7,363.68,9.99
rl,38.8,364.68,9.99
rl,38.9,365.68,9.99
rl,39,366.68,9.99
rl,39.1,367.68,9.99
rl,39.2,368.67,9.99
rl,39.3,369.67,9.99
rl,39.4,370.67,9.99
rl,39.5,371.67,9.99
rl,39.6,372.67,9.99
rl,39.7,373.67,9.99
rl,39.8,374.67,9.99
rl,39.9,375.67,9.99
rl,40,376.67,9.99
rl,40.1,377.67,9.99
rl,40.2,378.67,9.99
rl,40.3,379.67,9.99
rl,40.4,380.67,9.99
rl,40.5,381.67,9.99
rl,40.6,382.67,9.99
rl,40.7,383.67,9.99
rl,40.8,384.67,9.99
rl,40.9,385.66,9.99
rl,41,386.66,9.99
rl,41.1,387.66,9.99
rl,41.2,388.66,9.99
rl,41.3,389.66,9.99
rl,41.4,390.66,9.99
rl,41.5,391.66,9.99
rl,41.6,392.66,9.99
rl,41.7,393.66,9.99
rl,41.8,394.66,9.99
rl,41.9,395.66,9.99
rl,42,396.66,9.99
rl,42.1,397.66,9.99
rl,42.2,398.66,9.99
rl,42.3,399.66,9.99
rl,42.4,400.66,9.99
rl,42.5,401.66,9.99
rl,42.6,402.65,9.99
rl,42.7,403.65,9.99
rl,42.8,404.65,9.99
rl,42.9,405.65,9.99
rl,43,406.65,9.99
rl,43.1,407.65,9.99
rl,43.2,408.65,9.99
rl,43.3,409.65,9.99
rl,43.4,410.65,9.99
rl,43.5,411.65,9.99
rl,43.6,412.65,9.99
rl,43.7,413.65,9.99
rl,43.8,414.65,9.99
rl,43.9,415.65,9.99
rl,44,416.65,9.99
rl,44.1,417.65,9.99
rl,44.2,418.65,9.99
rl,44.3,419.65,9.99
rl,44.4,420.64,9.99
rl,44.5,421.64,9.99
human,1.2,5.1,8.09
human,1.3,5.92,8.19
human,1.4,6.75,8.29
human,1.5,7.59,8.39
human,1.6,8.43,8.48
human,1.7,9.29,8.58
human,1.8,10.16,8.68
human,1.9,11.04,8.78
human,2,11.93,8.88
human,2.1,12.82,8.93
human,2.2,13.71,8.93
human,2.3,14.6,8.93
human,2.4,15.5,8.93
human,2.5,16.39,8.93
human,2.6,17.28,8.93
human,2.7,18.18,8.93
human,2.8,19.07,8.93
human,2.9,19.96,8.93
human,3,20.85,8.93
human,3.1,21.75,8.93
human,3.2,22.64,8.93
human,3.3,23.53,8.93
human,3.4,24.42,8.93
human,3.5,25.32,8.93
human,3.6,26.21,8.93
human,3.7,27.1,8.93
human,3.8,27.99,8.93
human,3.9,28.89,8.93
human,4,29.78,8.93
human,4.1,30.67,8.93
human,4.2,31.56,8.93
human,4.3,32.46,8.93
human,4.4,33.35,8.93
human,4.5,34.24,8.93
human,4.6,35.14,8.93
human,4.7,36.03,8.93
human,4.8,36.92,8.93
human,4.9,37.81,8.93
human,5,38.71,8.93
human,5.1,39.6,8.93
human,5.2,40.49,8.93
human,5.3,41.38,8.93
human,5.4,42.28,8.93
human,5.5,43.17,8.93
human,5.6,44.06,8.93
human,5.7,44.95,8.93
human,5.8,45.85,8.93
human,5.9,46.74,8.93
human,6,47.63,8.93
human,6.1,48.53,8.93
human,6.2,49.42,8.93
human,6.3,50.31,8.93
human,6.4,51.2,8.93
human,6.5,52.1,8.93
human,6.6,52.99,8.93
human,6.7,53.88,8.93
human,6.8,54.77,8.93
human,6.9,55.67,8.93
human,7,56.56,8.93
human,7.1,57.45,8.93
human,7.2,58.34,8.93
human,7.3,59.24,8.93
human,7.4,60.13,8.93
human,7.5,61.02,8.93
human,7.6,61.92,8.93
human,7.7,62.81,8.93
human,7.8,63.7,8.93
human,7.9,64.59,8.93
human,8,65.49,8.93
human,8.1,66.38,8.93
human,8.2,67.27,8.93
human,8.3,68.16,8.93
human,8.4,69.06,8.93
human,8.5,69.95,8.93
human,8.6,70.84,8.93
human,8.7,71.73,8.93
human,8.8,72.63,8.93
human,8.9,73.52,8.93
human,9,74.41,8.93
human,9.1,75.3,8.93
human,9.2,76.2,8.93
human,9.3,77.09,8.93
human,9.4,77.98,8.93
human,9.5,78.88,8.93
human,9.6,79.77,8.93
human,9.7,80.66,8.93
human,9.8,81.55,8.93
human,9.9,82.45,8.93
human,10,83.34,8.93
human,10.1,84.23,8.93
human,10.2,85.12,8.93
human,10.3,86.02,8.93
human,10.4,86.91,8.93
human,10.5,87.8,8.93
human,10.6,88.69,8.93
human,10.7,89.59,8.93
human,10.8,90.48,8.93
human,10.9,91.37,8.93
human,11,92.27,8.93
human,11.1,93.16,8.93
human,11.2,94.05,8.93
human,11.3,94.94,8.93
human,11.4,95.84,8.93
human,11.5,96.73,8.93
human,11.6,97.62,8.93
human,11.7,98.51,8.93
human,11.8,99.41,8.93
human,11.9,100.3,8.93
human,12,101.19,8.93
human,12.1,102.08,8.93
human,12.2,102.98,8.93
human,12.3,103.87,8.93
human,12.4,104.76,8.93
human,12.5,105.65,8.93
human,12.6,106.55,8.93
human,12.7,107.44,8.93
human,12.8,108.33,8.93
human,12.9,109.23,8.93
human,13,110.12,8.93
human,13.1,111.01,8.93
human,13.2,111.9,8.93
human,13.3,112.8,8.93
human,13.4,113.69,8.93
human,13.5,114.58,8.93
human,13.6,115.47,8.93
human,13.7,116.37,8.93
human,13.8,117.26,8.93
human,13.9,118.15,8.93
human,14,119.04,8.93
human,14.1,119.94,8.93
human,14.2,120.83,8.93
human,14.3,121.72,8.93
human,14.4,122.62,8.93
human,14.5,123.51,8.93
human,14.6,124.4,8.93
human,14.7,125.29,8.93
human,14.8,126.19,8.93
human,14.9,127.08,8.93
human,15,127.97,8.93
human,15.1,128.86,8.93
human,15.2,129.76,8.93
human,15.3,130.65,8.93
human,15.4,131.54,8.93
human,15.5,132.43,8.93
human,15.6,133.33,8.93
human,15.7,134.22,8.93
human,15.8,135.11,8.93
human,15.9,136.01,8.93
human,16,136.9,8.93
human,16.1,137.79,8.93
human,16.2,138.68,8.93
human,16.3,139.58,8.93
human,16.4,140.47,8.93
human,16.5,141.36,8.93
human,16.6,142.25,8.93
human,16.7,143.15,8.93
human,16.8,144.04,8.93
human,16.9,144.93,8.93
human,17,145.82,8.93
human,17.1,146.72,8.93
human,17.2,147.61,8.93
human,17.3,148.5,8.93
human,17.4,149.39,8.93
human,17.5,150.29,8.93
human,17.6,151.18,8.93
human,17.7,152.07,8.93
human,17.8,152.97,8.93
human,17.9,153.86,8.93
human,18,154.75,8.93
human,18.1,155.64,8.93
human,18.2,156.54,8.93
human,18.3,157.43,8.93
human,18.4,158.32,8.93
human,18.5,159.21,8.93
human,18.6,160.11,8.93
human,18.7,161,8.93
human,18.8,161.89,8.93
human,18.9,162.78,8.93
human,19,163.68,8.93
human,19.1,164.57,8.93
human,19.2,165.46,8.93
human,19.3,166.36,8.93
human,19.4,167.25,8.93
human,19.5,168.14,8.93
human,19.6,169.03,8.93
human,19.7,169.93,8.93
human,19.8,170.82,8.93
human,19.9,171.71,8.93
human,20,172.6,8.93
human,20.1,173.5,8.93
human,20.2,174.39,8.93
human,20.3,175.28,8.93
human,20.4,176.17,8.93
human,20.5,177.07,8.93
human,20.6,177.96,8.93
human,20.7,178.85,8.93
human,20.8,179.74,8.93
human,20.9,180.64,8.93
human,21,181.53,8.93
human,21.1,182.42,8.93
human,21.2,183.32,8.93
human,21.3,184.21,8.93
human,21.4,185.1,8.93
human,21.5,185.99,8.93
human,21.6,186.89,8.93
human,21.7,187.78,8.93
human,21.8,188.67,8.93
human,21.9,189.56,8.93
human,22,190.46,8.93
human,22.1,191.35,8.93
human,22.2,192.24,8.93
human,22.3,193.13,8.93
human,22.4,194.03,8.93
human,22.5,194.84,8.08
human,22.6,195.45,6.19
human,22.7,196.01,5.58
human,22.8,196.53,5.17
human,22.9,197.02,4.87
human,23,197.48,4.63
human,23.1,197.92,4.44
human,23.2,198.35,4.28
human,23.3,198.77,4.15
human,23.4,199.17,4.04
human,23.5,199.57,3.95
human,23.6,199.95,3.87
human,23.7,200.28,3.8
human,23.8,200.65,3.71
human,23.9,201.01,3.58
human,24,201.35,3.43
human,24.1,201.68,3.26
human,24.2,201.99,3.08
human,24.3,202.28,2.89
human,24.4,202.55,2.7
human,24.5,202.8,2.5
human,24.6,203.03,2.31
human,24.7,203.24,2.13
human,24.8,203.44,1.95
human,24.9,203.62,1.79
human,25,203.78,1.63
human,25.1,203.93,1.49
human,25.2,204.06,1.35
human,25.3,204.19,1.23
human,25.4,204.3,1.12
human,25.5,204.4,1.02
human,25.6,204.49,0.92
human,25.7,204.58,0.84
human,25.8,204.65,0.76
human,25.9,204.72,0.69
human,26,204.78,0.62
human,26.1,204.84,0.57
human,26.2,204.89,0.51
human,26.3,204.94,0.47
human,26.4,204.98,0.42
human,26.5,205.02,0.38
human,26.6,205.05,0.35
human,26.7,205.09,0.32
human,26.8,205.11,0.29
human,26.9,205.14,0.26
human,27,205.16,0.24
human,27.1,205.19,0.22
human,27.2,205.21,0.2
human,27.3,205.22,0.18
human,27.4,205.24,0.16
human,27.5,205.25,0.15
human,27.6,205.27,0.13
human,27.7,205.28,0.12
human,27.8,205.29,0.11
human,27.9,205.3,0.1
human,28,205.31,0.09
human,28.1,205.32,0.08
human,28.2,205.33,0.08
human,28.3,205.33,0.07
human,28.4,205.34,0.06
human,28.5,205.34,0.06
human,28.6,205.35,0.05
human,28.7,205.35,0.05
human,28.8,205.35,0
human,28.9,205.38,0.26
human,29,205.38,0
human,29.1,205.4,0.19
human,29.2,205.4,0
human,29.3,205.4,0
human,29.4,205.4,0
human,29.5,205.4,0
human,29.6,205.4,0
human,29.7,205.4,0
human,29.8,205.4,0
human,29.9,205.4,0
human,30,205.4,0
human,30.1,205.4,0
human,30.2,205.4,0
human,30.3,205.4,0
human,30.4,205.4,0
human,30.5,205.4,0
human,30.6,205.4,0
human,30.7,205.4,0
human,30.8,205.4,0
human,30.9,205.4,0
human,31,205.4,0
human,31.1,205.4,0
human,31.2,205.4,0
human,31.3,205.4,0
human,31.4,205.4,0
human,31.5,205.4,0
human,31.6,205.4,0
human,31.7,205.4,0
human,31.8,205.4,0
human,31.9,205.4,0
human,32,205.4,0
human,32.1,205.4,0
human,32.2,205.4,0
human,32.3,205.4,0
human,32.4,205.4,0
human,32.5,205.4,0
human,32.6,205.4,0
human,32.7,205.4,0
human,32.8,205.4,0
human,32.9,205.4,0
human,33,205.4,0
human,33.1,205.4,0
human,33.2,205.4,0
human,33.3,205.4,0
human,33.4,205.4,0
human,33.5,205.4,0
human,33.6,205.4,0
human,33.7,205.4,0
human,33.8,205.4,0
human,33.9,205.4,0
human,34,205.4,0
human,34.1,205.4,0
human,34.2,205.4,0
human,34.3,205.4,0
human,34.4,205.4,0
human,34.5,205.4,0
human,34.6,205.4,0
human,34.7,205.4,0
human,34.8,205.4,0
human,34.9,205.4,0
human,35,205.4,0
human,35.1,205.4,0
human,35.2,205.4,0
human,35.3,205.4,0
human,35.4,205.4,0
human,35.5,205.4,0
human,35.6,205.4,0
human,35.7,205.4,0
human,35.8,205.4,0
human,35.9,205.4,0
human,36,205.4,0
human,36.1,205.4,0
human,36.2,205.4,0
human,36.3,205.4,0
human,36.4,205.4,0
human,36.5,205.4,0
human,36.6,205.4,0
human,36.7,205.4,0
human,36.8,205.4,0
human,36.9,205.4,0
human,37,205.4,0
human,37.1,205.4,0
human,37.2,205.4,0
human,37.3,205.4,0
human,37.4,205.4,0
human,37.5,205.4,0
human,37.6,205.4,0
human,37.7,205.4,0
human,37.8,205.4,0
human,37.9,205.4,0
human,38,205.4,0
human,38.1,205.4,0
human,38.2,205.4,0
human,38.3,205.4,0
human,38.4,205.4,0
human,38.5,205.4,0
human,38.6,205.4,0
human,38.7,205.4,0
human,38.8,205.4,0
human,38.9,205.4,0
human,39,205.4,0
human,39.1,205.4,0
human,39.2,205.4,0
human,39.3,205.4,0
human,39.4,205.4,0
human,39.5,205.4,0
human,39.6,205.4,0
human,39.7,205.4,0
human,39.8,205.4,0
human,39.9,205.4,0
human,40,205.4,0
human,40.1,205.4,0
human,40.2,205.4,0
human,40.3,205.4,0
human,40.4,205.4,0
human,40.5,205.4,0
human,40.6,205.4,0
human,40.7,205.4,0
human,40.8,205.4,0
human,40.9,205.43,0.26
human,41,205.48,0.52
human,41.1,205.56,0.78
human,41.2,205.66,1.04
human,41.3,205.79,1.3
human,41.4,205.95,1.56
human,41.5,206.13,1.82
human,41.6,206.34,2.08
human,41.7,206.57,2.34
human,41.8,206.83,2.6
human,41.9,207.12,2.86
human,42,207.43,3.12
human,42.1,207.77,3.38
human,42.2,208.13,3.64
human,42.3,208.52,3.9
human,42.4,208.94,4.16
human,42.5,209.38,4.42
human,42.6,209.85,4.68
human,42.7,210.34,4.94
human,42.8,210.86,5.2
human,42.9,211.41,5.46
human,43,211.98,5.72
human,43.1,212.58,5.98
human,43.2,213.2,6.24
human,43.3,213.85,6.5
human,43.4,214.53,6.76
human,43.5,215.23,7.02
human,43.6,215.96,7.28
human,43.7,216.71,7.54
human,43.8,217.49,7.8
human,43.9,218.3,8.06
human,44,219.13,8.32
human,44.1,219.99,8.58
human,44.2,220.87,8.84
human,44.3,221.76,8.93
human,44.4,222.16,8.93
human,44.5,223.06,8.93
human,44.6,223.95,8.93
human,44.7,224.84,8.93
human,44.8,225.73,8.93
human,44.9,226.63,8.93
human,45,227.52,8.93
human,45.1,228.41,8.93
human,45.2,229.31,8.93
human,45.3,230.2,8.93
human,45.4,231.09,8.93
human,45.5,231.98,8.93
human,45.6,232.88,8.93
human,45.7,233.77,8.93
human,45.8,234.66,8.93
human,45.9,235.55,8.93
human,46,236.45,8.93
human,46.1,237.34,8.93
human,46.2,238.23,8.93
human,46.3,239.12,8.93
human,46.4,240.02,8.93
human,46.5,240.91,8.93
human,46.6,241.8,8.93
human,46.7,242.7,8.93
human,46.8,243.59,8.93
human,46.9,244.48,8.93
human,47,245.37,8.93
human,47.1,246.27,8.93
human,47.2,247.16,8.93
human,47.3,248.05,8.93
human,47.4,248.94,8.93
human,47.5,249.84,8.93
human,47.6,250.73,8.93
human,47.7,251.62,8.93
human,47.8,252.51,8.93
human,47.9,253.41,8.93
human,48,254.3,8.93
human,48.1,255.19,8.93
human,48.2,256.09,8.93
human,48.3,256.98,8.93
human,48.4,257.87,8.93
human,48.5,258.76,8.93
human,48.6,259.66,8.93
human,48.7,260.55,8.93
human,48.8,261.44,8.93
human,48.9,262.33,8.93
human,49,263.23,8.93
human,49.1,264.12,8.93
human,49.2,265.01,8.93
human,49.3,265.9,8.93
human,49.4,266.8,8.93
human,49.5,267.69,8.93
human,49.6,268.58,8.93
human,49.7,269.47,8.93
human,49.8,270.37,8.93
human,49.9,271.26,8.93
human,50,272.15,8.93
human,50.1,273.05,8.93
human,50.2,273.94,8.93
human,50.3,274.83,8.93
human,50.4,275.72,8.93
human,50.5,276.62,8.93
human,50.6,277.51,8.93
human,50.7,278.4,8.93
human,50.8,279.29,8.93
human,50.9,280.19,8.93
human,51,281.08,8.93
human,51.1,281.97,8.93
human,51.2,282.86,8.93
human,51.3,283.76,8.93
human,51.4,284.65,8.93
human,51.5,285.54,8.93
human,51.6,286.44,8.93
human,51.7,287.33,8.93
human,51.8,288.22,8.93
human,51.9,289.11,8.93
human,52,290.01,8.93
human,52.1,290.9,8.93
human,52.2,291.79,8.93
human,52.3,292.68,8.93
human,52.4,293.58,8.93
human,52.5,294.47,8.93
human,52.6,295.36,8.93
human,52.7,296.25,8.93
human,52.8,297.15,8.93
human,52.9,298.04,8.93
human,53,298.93,8.93
human,53.1,299.82,8.93
human,53.2,300.72,8.93
human,53.3,301.61,8.93
human,53.4,302.5,8.93
human,53.5,303.4,8.93
human,53.6,304.29,8.93
human,53.7,305.18,8.93
human,53.8,306.07,8.93
human,53.9,306.97,8.93
human,54,307.86,8.93
human,54.1,308.75,8.93
human,54.2,309.64,8.93
human,54.3,310.54,8.93
human,54.4,311.43,8.93
human,54.5,312.32,8.93
human,54.6,313.21,8.93
human,54.7,314.11,8.93
human,54.8,315,8.93
human,54.9,315.89,8.93
human,55,316.79,8.93
human,55.1,317.68,8.93
human,55.2,318.57,8.93
human,55.3,319.46,8.93
human,55.4,320.36,8.93
human,55.5,321.25,8.93
human,55.6,322.14,8.93
human,55.7,323.03,8.93
human,55.8,323.93,8.93
human,55.9,324.82,8.93
human,56,325.71,8.93
human,56.1,326.6,8.93
human,56.2,327.5,8.93
human,56.3,328.39,8.93
human,56.4,329.28,8.93
human,56.5,330.18,8.93
human,56.6,331.07,8.93
human,56.7,331.96,8.93
human,56.8,332.85,8.93
human,56.9,333.75,8.93
human,57,334.64,8.93
human,57.1,335.53,8.93
human,57.2,336.42,8.93
human,57.3,337.32,8.93
human,57.4,338.21,8.93
